,choice:id,mean,mean,mean,mean,mean,mean,sd,sd,sd,sd,sd,sd
pollster:id,,CVVM,Data Collect,Ipsos,Kantar,Median,STEM,CVVM,Data Collect,Ipsos,Kantar,Median,STEM
0,ANO,0.0007146934550341696,-0.01978590058082469,0.012756679493782503,-0.007140867973839729,-0.00022854225289548058,0.018718709926984545,0.014984370033065358,0.011123913668860529,0.010412989248501293,0.016899767393046557,0.01349708779745226,0.013542174147359148
1,KDU-ČSL,0.0007269926297679057,,,-0.0025744466934031754,0.0001647677087477625,0.003906180167170528,0.008582910357172057,,,0.004917461236941599,0.004671695735261641,0.004542042484743001
2,KSČM,0.014070198951554976,-0.00816228107337883,-0.0015412782861754584,-0.011572991772379264,0.001673932689386404,0.004155844933399487,0.00970102663003749,0.017578891664271127,0.0073033625602205,0.00779956384910468,0.00993615322036237,0.0056989104414139555
3,ODS,0.004834553203249108,,,0.0023822373060333447,-0.0017814849297376769,-0.012437324067828149,0.013182963129066473,,,0.010515738286238897,0.00928468003951332,0.01056959285195472
4,Piráti,-0.005988157318859737,,,0.019284294461475008,-0.014880713972069649,-0.008593832742018765,0.009818159081465262,,,0.013599656346413058,0.009242253791142597,0.014704262238030605
5,Piráti+STAN,,,-0.017417810780414968,0.02147273136804383,-0.012378408061954182,,,,0.01623970992418097,0.027580710954908137,0.012610172466324576,
6,Přísaha,,,,-0.0005921098602548313,,,,,,0.010277969898858185,,
7,SPD,-0.015786295679775717,0.01633824113373758,-0.012300409109043836,0.0022401053842991243,0.004447923491456603,0.010828822935241693,0.010397315094763663,0.004945815023716756,0.002960847576212524,0.010185479157978097,0.010347729984950869,0.00989660876068063
8,SPOLU,,,0.020268322401502288,0.0023814917554292325,-0.013443674653523996,,,,0.006305882124590713,0.014147734699477775,0.007848722792905627,
9,STAN,-0.00839643414507171,,,0.0063170468594549445,0.001787967436827953,-0.003339125343403154,0.007066587835121886,,,0.008600626312723798,0.0074726329347936235,0.008988044388723665
10,TOP 09,-0.00646727237129348,,,0.003091660385154281,0.006419914855046579,-0.00402647390600297,0.005405574387428247,,,0.005612710320424062,0.005323186464268384,0.008462969954247345
11,Trikolóra,-0.003244546751360311,,0.006101554120888925,0.003572996795548648,-0.004682169496311773,-0.00018716732421464473,0.005812191383628799,,0.002466686761733239,0.009537860218437944,0.005618888067604644,0.015005036089759099
12,Trikolóra+Svobodní+Soukromníci,,,,0.0010713612085462242,,,,,,0.007770566021271087,,
13,Zelení,-0.0018830260091837036,,-0.001893479333548813,0.00464818248315397,0.002322205451132035,-0.003117364035840943,0.003093205706429918,,0.001487871883592804,0.002656757475446632,0.004063572332384699,0.0027276437604007013
14,ČSSD,0.023632027439851107,-0.010130728094967817,0.002556589437374644,-0.016167243099835315,0.004273472707549551,-0.0042036811300617,0.01189877439520914,0.004050825977243127,0.006138093385267669,0.007933146013431706,0.009296955473924791,0.013294693607578153
